id,sentiment,sentiment_average
44077,2637.0,10.30078125
302634,774.0,7.4423076923076925
1797712,961.0,14.343283582089553
374792,238.0,6.8
386860,1045.0,11.358695652173912
1804494,1142.0,10.672897196261681
393631,987.0,13.901408450704226
1896821,136.0,7.555555555555555
85156,2184.0,10.4
419987,1227.0,8.462068965517242
1906221,5157.0,10.072265625
424596,6225.0,12.017374517374517
159889,3087.0,8.695774647887324
1929739,843.0,10.28048780487805
1943366,1125.0,8.458646616541353
1963074,6869.0,11.150974025974026
162809,3104.0,9.521472392638037
165828,454.0,7.09375
426326,1797.0,7.074803149606299
165829,570.0,7.5
178860,4374.0,13.97444089456869
427077,5893.0,11.833333333333334
2026810,2735.0,9.366438356164384
181823,590.0,11.8
237465,2176.0,5.565217391304348
2069629,751.0,11.734375
2084913,586.0,12.208333333333334
2121887,53.0,7.571428571428571
245903,491.0,11.418604651162791
2162973,992.0,17.103448275862068
292757,5114.0,14.166204986149584
2164444,4177.0,8.775210084033613
2165074,1313.0,10.941666666666666
2283713,2530.0,7.881619937694704
302554,534.0,9.05084745762712
2355991,655.0,11.696428571428571
3026802,106.0,9.636363636363637
3031518,561.0,8.5
2372993,2017.0,11.7953216374269
3042183,335.0,9.571428571428571
3042237,341.0,9.742857142857142
3048852,693.0,8.451219512195122
2385640,0.0,0.0
2394893,2350.0,9.670781893004115
427495,1426.0,8.102272727272727
2415104,3599.0,14.281746031746032
3076665,1191.0,8.568345323741006
449556,1125.0,4.166666666666667
2427857,2881.0,11.570281124497992
454183,710.0,7.634408602150538
468082,2910.0,9.89795918367347
2466169,1584.0,7.436619718309859
2471794,1446.0,12.68421052631579
3088332,237.0,11.85
3096382,2281.0,9.917391304347825
2481147,186.0,6.888888888888889
2489550,5031.0,11.18
497136,893.0,7.902654867256637
3110929,556.0,13.9
522667,5217.0,12.132558139534884
3137058,1078.0,10.88888888888889
3180314,88.0,14.666666666666666
3188621,1025.0,6.6558441558441555
3221575,320.0,10.32258064516129
3226975,24.0,4.0
3253976,1206.0,15.461538461538462
526767,6614.0,11.644366197183098
3260995,17.0,8.5
3273876,28.0,9.333333333333334
3281268,326.0,13.583333333333334
3333378,1291.0,10.84873949579832
3356956,555.0,15.857142857142858
3388678,156.0,12.0
3389175,869.0,9.344086021505376
587218,3090.0,14.045454545454545
3394094,1680.0,8.115942028985508
3424579,136.0,10.461538461538462
3430811,236.0,9.44
2514537,76.0,38.0
2574203,3372.0,9.113513513513514
3441888,118.0,13.11111111111111
3441994,192.0,7.384615384615385
3474511,7280.0,11.375
592840,471.0,11.214285714285714
610233,492.0,8.065573770491802
637185,1557.0,9.854430379746836
2607040,466.0,8.321428571428571
2610590,10.0,5.0
2614726,123.0,20.5
2620389,10.0,1.6666666666666667
2635493,0.0,0.0
2642164,733.0,18.794871794871796
641880,414.0,9.0
3482676,139.0,27.8
3576358,245.0,8.75
3579644,2522.0,10.552301255230125
2647405,697.0,9.957142857142857
654589,5947.0,11.053903345724907
2671586,6.0,6.0
2685349,1277.0,12.047169811320755
3581384,207.0,10.35
3581655,2855.0,10.733082706766917
2686112,649.0,9.01388888888889
2691951,783.0,11.347826086956522
2703497,22.0,11.0
2719863,15.0,5.0
2734096,305.0,13.26086956521739
2754860,99.0,14.142857142857142
